1  3  419
1  7  97,303,728
1  11  120,594
1  19  500
1  32  251
1  33  946
1  37  929
1  41  419,728
1  43  519,627
1  47  409
1  57  636,831
1  58  298,974
1  59  785
1  62  156
1  66  97,434,507,663
1  68  303,728
1  74  609,839,916
1  76  216
1  79  374,496
1  92  419
1  97  127,553
1  105  271
1  107  500,730
1  122  943
1  125  232,500
1  138  535
1  147  398
1  148  303,636,728,831
1  165  97
1  167  97
1  171  609,730,839,916
1  175  519
1  177  865
1  180  243
1  182  209
1  183  109
1  185  97,244
1  193  846,991
1  195  216,303,728
1  201  109
1  202  730,946
1  207  516,711
1  212  500
1  215  500,946
1  222  28,877
1  228  775,846,991
1  234  865
1  246  663
1  250  579
1  251  253,369,553,664
1  252  29
1  263  779
1  265  753
1  269  28,519,877
1  270  28,877
1  275  434,507
1  278  237,663
1  279  535
1  287  519
1  296  36,663
1  297  303
1  300  429
1  303  763
1  305  109,459
1  306  237,525
1  307  375,742
1  309  237
1  310  535
1  335  243,279,824
1  339  738,813
1  344  120,594,775,846
1  350  340,579,636,831
1  354  519
1  372  779
1  380  789
1  391  836
1  393  808
1  396  251,500,522
1  400  781
1  404  28,779
1  413  130,166,245,730
1  417  397
1  423  943
1  424  219,500
1  428  109,946
1  431  109,216
1  432  500
1  434  28,298,877
1  438  288,459
1  455  36
1  456  553
1  464  459
1  473  303,728,779
1  476  298
1  485  165
1  486  789
1  488  459
1  493  663
2  1  237
2  13  742
2  18  375,519,652
2  21  575,952
2  26  243,459
2  29  434,507
2  33  288,877
2  34  730
2  35  36,763
2  37  636,831
2  49  29
2  55  216
2  58  524
2  66  884
2  68  439
2  71  109
2  74  500
2  75  44,459,469
2  104  419
2  107  498,500,525
2  108  127,156
2  112  553
2  122  36
2  138  636,831
2  145  298,836
2  147  216,684
2  150  156,500
2  156  237
2  158  636,717,831,949
2  162  271,500
2  165  243,279,824
2  169  730
2  181  216,538,978
2  185  303,728
2  203  237
2  217  535
2  220  779
2  227  271
2  230  146,527,575,952
2  246  946
2  248  109
2  249  623
2  250  553
2  263  216
2  274  779
2  276  535
2  278  243,419
2  282  779
2  287  261,851
2  295  109,375
2  298  307
2  303  398
2  323  419
2  332  271,525
2  334  165
2  341  237
2  343  303,419,728
2  345  419
2  364  97
2  369  165
2  373  216,219,417,500
2  377  156
2  384  738
2  389  636,831
2  390  303,500,728
2  392  66
2  394  562,636,831
2  397  623
2  407  398,592
2  421  209,397
2  426  432
2  449  781
2  453  417,419
2  454  29,663
2  465  579,786
2  475  109
2  481  216,516,711
2  492  663
2  494  397
2  499  303
3  6  340,728
3  12  29
3  15  524
3  22  738
3  23  109
3  25  730
3  29  652
3  31  216,553
3  39  730
3  43  206,562
3  55  417
3  58  369
3  67  779
3  78  109,427
3  87  165,237,652
3  89  859
3  92  500
3  94  779
3  96  29
3  112  459
3  116  525,775,846,991
3  119  434,507
3  131  524
3  133  553,592
3  135  397
3  147  29
3  149  298
3  151  739
3  154  500,763
3  164  789
3  175  500
3  181  553
3  185  439
3  186  553
3  190  519
3  191  500
3  193  502,859
3  199  94,820
3  201  649
3  203  500,642,859
3  212  454
3  217  579,820
3  219  29,146,527
3  223  519,730
3  224  609,839,916
3  234  843
3  241  109,243,635
3  256  763
3  263  535
3  279  417
3  282  500
3  283  166,245,320
3  286  298
3  299  738,763
3  306  642
3  310  500
3  315  29
3  326  500
3  338  261,472,808,895
3  343  770
3  360  949
3  361  419
3  377  209,432,904
3  383  216,397
3  389  375
3  399  487
3  408  439,472
3  415  244
3  420  109
3  430  419
3  432  454
3  439  251,522,652
3  466  28,779
3  470  500,730
3  473  730,789,908
3  478  94,820
3  480  763
3  486  84
3  488  738
3  493  500,535
3  494  28,500,877
3  495  216,298
