0	2	237
0	8	94,516,711,820
1	5	519,579,786
1	8	621
2	1	419
2	7	288
2	8	32,251,522,727
3	8	519
3	10	243,824
5	3	340,728
6	1	97,303,728
6	4	156,209
6	6	519
7	4	209
7	6	243
9	5	738
10	1	120,594
10	5	623
11	3	29
11	5	216
12	2	742
12	8	209
12	10	156
13	8	375
14	3	524
15	6	28,742,877
15	7	243
16	9	209,261,851,908
16	10	808
17	2	375,519,652
17	4	22
17	6	375,782
18	1	500
18	7	109,609,839,916
18	8	190,296,422
18	10	459
19	8	779
20	2	575,952
20	7	519
21	3	738
21	6	271
21	10	36
22	3	109
22	7	742
23	7	519,621
23	9	206,562
23	10	327,671
24	3	730
25	2	243,459
26	4	496
27	4	28,209,525
27	6	419
28	2	434,507
28	3	652
28	5	460,535
28	7	535
28	8	609,839,916
28	9	738
29	8	763
29	9	663
29	10	374
30	3	216,553
31	1	251
31	9	459
31	10	254,949
32	1	946
32	2	288,877
32	5	419
32	6	524,609,839,916
33	2	730
34	2	36,763
34	9	439
36	1	929
36	2	636,831
36	4	908
36	6	216
36	7	663
37	9	156
38	3	730
38	10	156
40	1	419,728
41	5	472
41	8	609,839,916
41	10	738
42	1	519,627
42	3	206,562
44	10	94,553,820
45	4	519
46	1	409
48	2	29
48	6	127,763,765
48	10	562,789
50	7	908
51	5	500
51	7	216,664
53	7	271
53	9	298
54	2	216
54	3	417
56	1	636,831
57	1	298,974
57	2	524
57	3	369
57	8	487,579
58	1	785
58	6	340
58	8	728
58	9	237,535,663
58	10	127
60	9	36,781
61	1	156
61	5	500
61	8	429,663
61	10	664
62	10	519,742
63	5	298
63	10	109,237
64	10	22
65	1	97,434,507,663
65	2	884
65	4	28
65	7	251,522
65	9	397
66	3	779
66	7	237
66	9	298
67	1	303,728
67	2	439
67	8	579
68	8	472
69	6	419
69	7	500
70	2	109
70	5	519
70	8	195,393
71	7	261,895,908
72	5	949
72	6	251
72	9	623,846
73	1	609,839,916
73	2	500
73	7	738
73	8	500
74	2	44,459,469
74	4	397
74	9	609,839,916
75	1	216
75	5	22,717,949
75	6	100,239,500
75	10	553
77	3	109,427
77	10	166
78	1	374,496
78	8	44,469
79	6	100,239,500
80	5	209
80	7	770
80	8	535
81	6	22
81	8	459,859
82	7	525
83	5	500,738
83	9	303,728
84	6	636,831
85	5	946
86	3	165,237,652
86	5	432,500,859
86	8	454
87	9	271
88	3	859
88	6	409,636,650,831
89	9	375
90	7	974
90	8	562
91	1	419
91	3	500
92	4	84
92	7	340
93	3	779
94	10	216
95	3	29
96	1	127,553
96	7	500
96	8	553,652
96	9	254,500
96	10	459,500
97	6	22
97	8	500
97	10	215
98	4	535
99	7	109,244,859
100	8	120,594
102	4	22
102	7	782
102	10	237
103	2	419
103	5	419
104	1	271
104	6	664
105	4	109
106	1	500,730
106	2	498,500,525
106	8	500
107	2	127,156
107	4	237
107	7	836
108	5	636,831
108	8	763
109	5	779
110	5	946
110	6	243,279,824
111	2	553
111	3	459
111	10	303,728
112	8	664
114	9	500
115	3	525,775,846,991
115	6	779
115	8	298
115	9	649
116	7	127
116	10	529
117	5	763
117	10	562
118	3	434,507
119	5	664
119	9	459
121	1	943
121	2	36
121	4	298,419,663
121	5	156,649
122	6	156,417
123	5	251,522,859
124	1	232,500
124	4	621
125	4	636,831
126	6	779
126	10	929
127	4	237
127	7	298,500,525
127	10	575,642,779,952
128	5	525
130	3	524
130	9	166,320,375,419
132	3	553,592
132	9	109,553
132	10	84,615
134	3	397
135	5	219
135	9	692,730
136	4	472
136	6	156,519
137	1	535
137	2	636,831
137	6	298,982
137	7	166,245,320,419
138	5	553
138	10	298
140	4	865
140	6	738
141	6	519
141	7	206,516,562,711
141	8	63
142	6	298
142	7	36
142	9	836
142	10	730
144	2	298,836
146	1	398
146	2	216,684
146	3	29
146	6	779,931
146	8	243
146	9	470,636,831
147	1	303,636,728,831
147	5	109
148	3	298
148	4	28,649,877
148	5	303,728
149	2	156,500
149	7	254
150	3	739
151	4	29,439
152	5	562,770
152	6	243
152	8	397
153	3	500,763
153	9	562
155	2	237
155	7	190,358,725
155	10	237
156	4	519
156	5	763
156	7	627
156	8	562,649
157	2	636,717,831,949
158	8	397
160	5	237
160	7	44,469
161	2	271,500
162	4	397
162	8	216,879
163	3	789
163	4	730
163	5	84
163	10	237
164	1	97
164	2	243,279,824
164	6	419
164	8	727
165	10	340
166	1	97
166	6	187
167	5	500
167	7	216,725
167	8	237
167	10	427
168	2	730
168	8	209,738
170	1	609,730,839,916
170	7	610,627
171	8	763
171	10	519
172	4	432,519
172	7	216,234,524
172	8	610
173	5	500
173	9	216,738
174	1	519
174	3	500
174	5	519
174	8	500
174	10	417
175	4	243
176	1	865
176	6	579
176	8	843
176	9	298,929
177	5	535,592
178	8	419
179	1	243
179	9	109
180	2	216,538,978
180	3	553
181	1	209
181	10	684
182	1	109
182	5	109
182	6	621
182	8	553
183	6	109
183	8	190,296,422,781
183	10	789
184	1	97,244
184	2	303,728
184	3	439
185	3	553
188	4	820
188	9	190,271,296,422
189	3	519
189	7	206,562,946
189	9	84,877
190	3	500
191	10	730
192	1	846,991
192	3	502,859
193	4	500,553
194	1	216,303,728
194	4	206,562
194	5	943
194	6	779
194	9	516,711
194	10	109
195	6	109,243
195	9	251,522
197	4	836,908
198	3	94,820
198	8	303,728
199	9	419
200	1	109
200	3	649
200	5	29
201	1	730,946
201	7	251
202	2	237
202	3	500,642,859
202	7	459
203	9	519
206	1	516,711
206	9	432
207	5	763
208	8	303,728
209	6	627
209	9	303,728
209	10	439,529,730
210	6	109
211	1	500
211	3	454
211	9	340,496,949
211	10	789
213	4	459
214	1	500,946
214	6	562
215	6	946
216	2	535
216	3	579,820
216	9	209
218	3	29,146,527
219	2	779
219	8	109
221	1	28,877
221	7	207,609,839,916
222	3	519,730
222	5	109,206,562
222	6	942
223	3	609,839,916
226	2	271
227	1	775,846,991
227	9	739
228	5	429
228	6	684
228	10	500
229	2	146,527,575,952
230	9	417,460,500
232	5	627
233	1	865
233	3	843
233	5	261,895
233	6	663
233	8	237
233	10	579
234	5	500,519
234	6	649
234	9	127
236	4	109,411,454
236	5	409,808
236	9	165
237	8	397,516,711
237	10	879
239	7	535
239	10	730
240	3	109,243,635
242	8	781
243	5	730
244	8	738
244	9	535,579
245	1	663
245	2	946
245	4	307
245	5	663
245	9	877
246	4	434,507,609,839
246	8	519
246	9	2
246	10	836
247	2	109
247	6	190,296,422
247	7	553
247	9	730
248	2	623
249	1	579
249	2	553
249	10	36
250	1	253,369,553,664
250	5	156,209,432
251	1	29
251	10	763
252	7	636,831,982
253	10	232
254	7	763,779
254	9	730
255	3	763
255	4	730
256	8	237,419,519
257	6	298
258	9	432
259	5	530,531,621
259	7	165
259	10	187
260	6	254,808
260	8	500,504,524,525
260	9	209,785
262	1	779
262	2	216
262	3	535
262	8	782,982
263	9	460
264	1	753
264	5	367
264	10	209
265	4	22
265	5	782
265	8	340
267	4	209,779
268	1	28,519,877
269	1	28,877
269	10	946
270	10	261,271,895
271	5	28,340,417,877
273	2	779
273	10	156
274	1	434,507
274	4	535
274	7	500
275	2	535
275	9	261,650,895
276	9	375,397
276	10	100,239
277	1	237,663
277	2	243,419
278	1	535
278	3	417
278	8	303,728
278	9	967
280	5	243,730
280	9	519,982
